grid_id;organization_name;established_year;closed_year;wikipedia_url;website_url
grid.446874.d;Lakeland College;1862;NULL;https://en.wikipedia.org/wiki/Lakeland_University;https://lakeland.edu/
grid.446888.e;Germanna Virginia Community College;1970;NULL;https://en.wikipedia.org/wiki/Germanna_Community_College;https://www.germanna.edu/
grid.446900.f;Learning Through an Expanded Arts Program;1977;NULL;NULL;http://leapnyc.org/
grid.446906.9;Lees McRae College;1900;NULL;https://en.wikipedia.org/wiki/Lees%E2%80%93McRae_College;http://www.lmc.edu/
grid.446910.e;Lehman College Art Gallery;NULL;NULL;NULL;http://www.lehmangallery.org/
grid.446912.c;Graduate Institute of Applied Linguistics;1998;NULL;https://en.wikipedia.org/wiki/Graduate_Institute_of_Applied_Linguistics;http://www.gial.edu/
grid.446928.5;De Anza College;1967;NULL;https://en.wikipedia.org/wiki/De_Anza_College;http://www.deanza.edu/
grid.446948.3;Mexican American Catholic College;1972;NULL;NULL;https://maccsa.org/
grid.446956.c;Colorado Heights University;1989;NULL;https://en.wikipedia.org/wiki/Colorado_Heights_University;http://chu.edu/
grid.446962.b;Los Medanos College;1974;NULL;https://en.wikipedia.org/wiki/Los_Medanos_College;http://www.losmedanos.edu/
grid.446965.c;Louisiana College;1906;NULL;https://en.wikipedia.org/wiki/Louisiana_College;http://www.lacollege.edu/
grid.446974.c;Iliff School of Theology;1892;NULL;https://en.wikipedia.org/wiki/Iliff_School_of_Theology;http://www.iliff.edu/
grid.446976.e;Lourdes University;1958;NULL;https://en.wikipedia.org/wiki/Lourdes_University;http://www.lourdes.edu/
grid.446977.f;Midway College;1847;NULL;https://en.wikipedia.org/wiki/Midway_University;http://www.midway.edu/
grid.446980.7;Milligan College;1866;NULL;https://en.wikipedia.org/wiki/Milligan_College;https://www.milligan.edu/
grid.446992.4;Minnesota State Community and Technical College;2003;NULL;https://en.wikipedia.org/wiki/Minnesota_State_Community_and_Technical_College;http://www.minnesota.edu/
grid.446999.f;Lutheran School of Theology at Chicago;1962;NULL;https://en.wikipedia.org/wiki/Lutheran_School_of_Theology_at_Chicago;http://www.lstc.edu/
grid.447045.6;Morris College;1908;NULL;https://en.wikipedia.org/wiki/Morris_College;http://www.morris.edu/
grid.447046.5;Motlow State Community College;1969;NULL;https://en.wikipedia.org/wiki/Motlow_State_Community_College;http://www.mscc.edu/
grid.447047.4;Mount Ida College;1899;NULL;https://en.wikipedia.org/wiki/Mount_Ida_College;http://www.mountida.edu/
grid.447051.3;Mangalam Research Center for Buddhist Languages;2008;NULL;NULL;http://www.mangalamresearch.org/
grid.447053.1;Manhattan High School;NULL;NULL;NULL;http://manhattanhs.org/
grid.447056.4;Marist School;1901;NULL;https://en.wikipedia.org/wiki/Marist_School_(Georgia);https://www.marist.com/
grid.447060.1;Marlboro College;1997;NULL;https://en.wikipedia.org/wiki/Marlboro_College;https://www.marlboro.edu/
grid.447072.2;Institute of the Black World;1969;NULL;https://en.wikipedia.org/wiki/Institute_of_the_Black_World;http://ibw21.org/
grid.447085.a;International University of Sarajevo;2004;NULL;https://en.wikipedia.org/wiki/International_University_of_Sarajevo;http://www.ius.edu.ba/
grid.447091.f;Italian Cultural Society of Washington D.C;1953;NULL;NULL;http://www.italianculturalsociety.org/
grid.447112.5;Caldwell West Caldwell Public Schools;NULL;NULL;https://en.wikipedia.org/wiki/Caldwell-West_Caldwell_Public_Schools;http://www.cwcboe.org/site/default.aspx?PageID=1
grid.447117.0;Massachusetts College of Art and Design;1873;NULL;https://en.wikipedia.org/wiki/Massachusetts_College_of_Art_and_Design;http://www.massart.edu/#!JessicaEaton
grid.447118.f;James Sprunt Community College;1960;NULL;https://en.wikipedia.org/wiki/James_Sprunt_Community_College;http://www.jamessprunt.edu/
grid.447123.7;Massachusetts College of Liberal Arts;1894;NULL;https://en.wikipedia.org/wiki/Massachusetts_College_of_Liberal_Arts;http://www.mcla.edu/
grid.447125.1;National Alliance of Black School Educators;1970;NULL;https://en.wikipedia.org/wiki/National_Alliance_of_Black_School_Educators;https://www.nabse.org
grid.447136.3;Jeffco Public Schools;1950;NULL;https://en.wikipedia.org/wiki/Jefferson_County_Public_Schools_(Colorado);http://www.jeffcopublicschools.org/
grid.447152.1;Jewish Theological Seminary;1886;NULL;https://en.wikipedia.org/wiki/Jewish_Theological_Seminary_of_America;http://www.jtsa.edu/
grid.447170.1;New York Studio School of Drawing Painting and Sculpture;1963;NULL;https://en.wikipedia.org/wiki/New_York_Studio_School_of_Drawing,_Painting_and_Sculpture;https://nyss.org
grid.447172.3;New York University Press;1916;NULL;https://en.wikipedia.org/wiki/New_York_University_Press;http://nyupress.org/
grid.447185.b;Newton Public Schools;1992;NULL;https://en.wikipedia.org/wiki/Newton_Public_Schools;http://www.newton.k12.ma.us/
grid.447187.9;Norfolk Academy;1728;NULL;https://en.wikipedia.org/wiki/Norfolk_Academy;http://www.norfolkacademy.org/page
grid.447198.7;Mahayana Sutra & Tantra Center;1982;NULL;NULL;http://www.mstp.us/mstc/
grid.447208.d;Quinebaug Valley Community College;1971;NULL;https://en.wikipedia.org/wiki/Quinebaug_Valley_Community_College;http://qvcc.edu/
grid.447220.7;Bishop John T. Walker National Learning Center;NULL;NULL;NULL;http://www.bishopwalkercenterdc.org/
grid.447222.5;Reading Area Community College;1971;NULL;https://en.wikipedia.org/wiki/Reading_Area_Community_College;https://www.racc.edu/
grid.447224.3;Northland Community and Technical College;1949;NULL;https://en.wikipedia.org/wiki/Northland_Community_%26_Technical_College;http://www.northlandcollege.edu/
grid.447227.0;Reconstructionist Rabbinical College;1968;NULL;https://en.wikipedia.org/wiki/Reconstructionist_Rabbinical_College;http://www.rrc.edu/
grid.447251.1;The Ohio State University at Lima;1960;NULL;https://en.wikipedia.org/wiki/Ohio_State_University,_Lima_Campus;http://lima.osu.edu/
grid.447254.4;Oklahoma Christian University;1950;NULL;https://en.wikipedia.org/wiki/Oklahoma_Christian_University;http://www.oc.edu/
grid.447260.3;Neumann University;1965;NULL;https://en.wikipedia.org/wiki/Neumann_University;http://www.neumann.edu/
grid.447266.5;Rhode Island School of Design;1877;NULL;https://en.wikipedia.org/wiki/Rhode_Island_School_of_Design;http://www.risd.edu/
grid.447271.3;Richard Bland College;1960;NULL;https://en.wikipedia.org/wiki/Richard_Bland_College;http://www.rbc.edu/
grid.447275.7;New England Conservatory of Music;1867;NULL;https://en.wikipedia.org/wiki/New_England_Conservatory_of_Music;http://necmusic.edu/
grid.447291.d;University of New Hampshire at Manchester;1985;NULL;https://en.wikipedia.org/wiki/University_of_New_Hampshire_at_Manchester;http://manchester.unh.edu/
grid.447292.e;Ridgewood Public Schools;NULL;NULL;https://en.wikipedia.org/wiki/Ridgewood_Public_Schools;https://www.ridgewood.k12.nj.us/
grid.447295.9;New Jersey Community College Consortium For Workforce & Economic Development;2004;NULL;NULL;http://njworkforce.org/
grid.447304.0;Northwestern College - Iowa;1882;NULL;https://en.wikipedia.org/wiki/Northwestern_College_(Iowa);http://www.nwciowa.edu/
grid.447316.3;Rare Book School;1983;NULL;https://en.wikipedia.org/wiki/Rare_Book_School;https://rarebookschool.org/
grid.447321.7;Rappahannock Community College;1969;NULL;https://en.wikipedia.org/wiki/Rappahannock_Community_College;https://www.rappahannock.edu/
grid.447322.4;Danville Community College;1890;NULL;https://en.wikipedia.org/wiki/Danville_Community_College;http://www.dcc.vccs.edu/
grid.447325.3;Art Institute of Portland;1963;NULL;https://en.wikipedia.org/wiki/Art_Institute_of_Portland;https://www.artinstitutes.edu/portland
grid.447328.e;St. Louis Public Schools;1838;NULL;https://en.wikipedia.org/wiki/St._Louis_Public_Schools;https://www.slps.org
grid.447331.6;St. Louis University High School;1818;NULL;https://en.wikipedia.org/wiki/St._Louis_University_High_School;https://www.sluh.org
grid.447335.2;Saint Mary's Academy and College;NULL;NULL;NULL;NULL
grid.447336.1;Rock Point Community School;1935;NULL;https://en.wikipedia.org/wiki/Rock_Point_Community_School;https://www.rpcsaz.org
grid.447338.f;Rockland Community College;1959;NULL;https://en.wikipedia.org/wiki/Rockland_Community_College;http://www.sunyrockland.edu/
grid.447345.5;Pacific School of Religion;1866;NULL;https://en.wikipedia.org/wiki/Pacific_School_of_Religion;http://www.psr.edu/
grid.447350.1;Roland Park Country School;1900;NULL;https://en.wikipedia.org/wiki/Roland_Park_Country_School;https://www.rpcs.org/
grid.447352.3;Washington State Board for Community and Technical Colleges;1915;NULL;NULL;https://www.sbctc.edu/
grid.447354.5;Palo Alto Unified School District;1893;NULL;https://en.wikipedia.org/wiki/Palo_Alto_Unified_School_District;https://www.pausd.org/
grid.447363.1;Parkway School District;1954;NULL;https://en.wikipedia.org/wiki/Parkway_School_District;https://www.parkwayschools.net
grid.447370.3;Parsons School of Design;1936;NULL;https://en.wikipedia.org/wiki/Parsons_School_of_Design;https://www.newschool.edu/parsons/
grid.447372.1;Salem College;1772;NULL;https://en.wikipedia.org/wiki/Salem_College;http://www.salem.edu/
grid.447373.0;Staten Island Historical Society;1856;NULL;https://en.wikipedia.org/wiki/Staten_Island_Historical_Society;http://statenisland.pastperfect-online.com/
grid.447377.4;Paul Quinn College;1872;NULL;https://en.wikipedia.org/wiki/Paul_Quinn_College;https://www.pqc.edu/
grid.447390.d;William Peace University;1857;NULL;https://en.wikipedia.org/wiki/William_Peace_University;http://www.peace.edu/
grid.447439.9;Perkins School for Blind;1829;NULL;https://en.wikipedia.org/wiki/Perkins_School_for_the_Blind;https://www.perkins.org/
grid.447443.4;Sault Ste. Marie Area Public Schools;NULL;NULL;NULL;https://www.saultschools.org
grid.447445.2;Savannah College of Art and Design;1978;NULL;https://en.wikipedia.org/wiki/Savannah_College_of_Art_and_Design;http://www.scad.edu/
grid.447452.4;Thomas Aquinas College;1971;NULL;https://en.wikipedia.org/wiki/Thomas_Aquinas_College;https://thomasaquinas.edu/
grid.447463.6;Phillips Exeter Academy;1781;NULL;https://en.wikipedia.org/wiki/Phillips_Exeter_Academy;http://www.exeter.edu/
grid.447464.1;School District of Lee County;NULL;NULL;https://en.wikipedia.org/wiki/School_District_of_Lee_County_(Florida);https://www.lee.k12.al.us/
grid.447467.2;Piedmont Community College;1970;NULL;https://en.wikipedia.org/wiki/Piedmont_Community_College;http://www.piedmontcc.edu/
grid.447470.4;University of Pikeville;1889;NULL;https://en.wikipedia.org/wiki/University_of_Pikeville;http://www.upike.edu/
grid.447496.c;Union Theological Seminary;1908;NULL;https://en.wikipedia.org/wiki/Union_Theological_Seminary_(New_York_City);https://utsnyc.edu/
grid.447499.3;United States Army Command and General Staff College;1881;NULL;https://en.wikipedia.org/wiki/United_States_Army_Command_and_General_Staff_College;https://usacac.army.mil/organizations/cace/cgsc
grid.447526.6;University of Georgia Press;1938;NULL;https://en.wikipedia.org/wiki/University_of_Georgia_Press;http://www.ugapress.org/
grid.447527.7;Prince William County Public Schools;1923;NULL;https://en.wikipedia.org/wiki/Prince_William_County_Public_Schools;http://www.pwcs.edu
grid.447529.9;Princeton Theological Seminary;1812;NULL;https://en.wikipedia.org/wiki/Princeton_Theological_Seminary;http://www.ptsem.edu/
grid.447539.8;University of Pittsburgh at Bradford;1963;NULL;https://en.wikipedia.org/wiki/University_of_Pittsburgh_at_Bradford;https://www.upb.pitt.edu/
grid.447541.7;University of Pittsburgh at Greensburg;1963;NULL;https://en.wikipedia.org/wiki/University_of_Pittsburgh_at_Greensburg;https://www.greensburg.pitt.edu/
grid.447542.4;University of South Carolina Sumter;1966;NULL;https://en.wikipedia.org/wiki/University_of_South_Carolina_Sumter;http://www.uscsumter.edu/
grid.447546.0;University of South Florida Sarasota–Manatee;1975;NULL;https://en.wikipedia.org/wiki/University_of_South_Florida_Sarasota%E2%80%93Manatee;http://usfsm.edu/
grid.447547.1;University of South Florida St. Petersburg;1965;NULL;https://en.wikipedia.org/wiki/University_of_South_Florida_St._Petersburg;http://www.usfsp.edu/home/
grid.447557.0;Shoshone Episcopal Mission;1889;NULL;NULL;http://wyoshpo.state.wy.us/NationalRegister/Site.aspx?ID=163
grid.447569.d;Windward Community College;1972;NULL;https://en.wikipedia.org/wiki/Windward_Community_College;https://windward.hawaii.edu
grid.447570.5;Vermont Folklife Center;1984;NULL;NULL;http://www.vermontfolklifecenter.org/
grid.447578.d;Leeward Community College;1968;NULL;https://en.wikipedia.org/wiki/Leeward_Community_College;http://www.leeward.hawaii.edu/
