watchers	created_at	assessment	author	editors	revisions	words	unique_references	url	minor_edits	characters	sections	references
0	2009-02-06		张巅	45	77	10	2	https://zh.wikipedia.org/wiki/浙江工商大学	18	4876	11	2
0	2008-06-19	Stub	Karzhou	58	166	426	5	https://en.wikipedia.org/wiki/Nanjing_University_of_Posts_and_Telecommunications	40	3027	6	8
0	2018-03-12		SchorschCN	10	22	165	0	https://de.wikipedia.org/wiki/Universität_für_Post_und_Telekommunikation_Nanjing	10	1232	4	0
0	2018-10-04		Daiquping	1	2	1	0	https://wuu.wikipedia.org/wiki/南京邮电大学	0	300	0	0
0	2006-02-11		JayXie	58	167	37	2	https://zh.wikipedia.org/wiki/南京邮电大学	84	4168	8	2
0	2018-10-22		Roy17	1	1	1	1	https://zh-yue.wikipedia.org/wiki/南京郵電大學	0	78	2	1
0	2006-03-13	Stub	Badagnani	47	72	1512	8	https://en.wikipedia.org/wiki/Guangxi_Normal_University	37	10441	19	16
0	2012-11-25		Orartu	14	24	19	1	https://az.wikipedia.org/wiki/Quanqsi_Normal_Universiteti	12	178	3	1
0	2013-02-10	ébauche	Xiyang	10	16	75	0	https://fr.wikipedia.org/wiki/Université_normale_du_Guangxi	10	600	4	0
0	2010-06-25		池内宏一	19	26	13	0	https://ja.wikipedia.org/wiki/広西師範大学	18	1124	5	0
0	2013-01-18		Kerlaker	8	11	106	1	https://pt.wikipedia.org/wiki/Universidade_Normal_de_Quancim	9	760	3	1
0	2012-08-09		Mats33	11	17	14	0	https://sv.wikipedia.org/wiki/Guangxis_lärarhögskola	12	107	1	0
0	2013-01-20		Người Tráng	15	22	385	1	https://vi.wikipedia.org/wiki/Đại_học_Sư_phạm_Quảng_Tây	17	2476	6	1
0	2013-01-29		韦一民	4	6	115	0	https://za.wikipedia.org/wiki/Gvangjsih_Swhfan_Dayoz	5	895	2	0
0	2003-11-12		Mai1964221	77	193	16	2	https://zh.wikipedia.org/wiki/广西师范大学	52	3216	20	2
0	2013-01-19		李平汉	12	22	14	0	https://zh-yue.wikipedia.org/wiki/廣西師範大學	19	968	9	0
0	2014-01-02	Start	Liangxiao	35	63	404	6	https://en.wikipedia.org/wiki/Guangzhou_Medical_University	17	3402	8	8
0	2020-09-08		Emilio Luque	4	11	423	5	https://es.wikipedia.org/wiki/Universidad_Médica_de_Guangzhou	5	2950	8	7
0	2009-01-07		Liangxiao	45	84	22	7	https://zh.wikipedia.org/wiki/广州医科大学	11	1799	23	7
0	2015-03-04		WKDx417	4	6	12	0	https://zh-yue.wikipedia.org/wiki/廣州醫科大學	1	590	2	0
0	2006-12-25	Stub	Neo-Jay	27	38	178	0	https://en.wikipedia.org/wiki/Henan_University_of_Science_and_Technology	15	1239	2	0
0	2016-05-30		Jack Cluster	9	13	30	1	https://de.wikipedia.org/wiki/Henan_University_of_Science_and_Technology	6	258	2	1
0	2006-12-25		鸟甲	39	107	9	4	https://zh.wikipedia.org/wiki/河南科技大学	25	4066	12	4
0	2012-10-24	Stub	Narjuko	19	33	267	0	https://en.wikipedia.org/wiki/Shandong_University_of_Technology	16	2059	4	0
66	2004-11-21		202.110.209.165	133	299	92	8	https://zh.wikipedia.org/wiki/山东理工大学	117	13119	35	8
0	2005-12-13	Stub	Immanuel Giel	70	121	692	10	https://en.wikipedia.org/wiki/Guizhou_University	27	5050	9	16
0	2020-02-23		Raafat	3	6	24	1	https://arz.wikipedia.org/wiki/جامعة_قويتشو	4	208	4	1
0	2005-12-15		Zhou Yi	15	16	103	0	https://de.wikipedia.org/wiki/Guizhou-Universität	8	882	4	0
0	2008-01-29		Ctande	10	15	83	0	https://no.wikipedia.org/wiki/Guizhouuniversitetet	5	682	2	0
0	2005-10-06		Gzu	80	254	35	0	https://zh.wikipedia.org/wiki/贵州大学	71	7226	18	0
0	2008-09-10	Start	Ramtears	33	78	170	4	https://en.wikipedia.org/wiki/Nanjing_Forestry_University	19	1208	10	4
0	2004-12-12		Wikinu	67	100	43	7	https://zh.wikipedia.org/wiki/南京林业大学	37	5298	16	7
0	2004-08-22	Stub	Pratyeka	45	76	372	0	https://en.wikipedia.org/wiki/Tianjin_Normal_University	20	2733	5	0
0	2013-04-30		125.39.8.73	9	13	134	0	https://de.wikipedia.org/wiki/Pädagogische_Universität_Tianjin	10	1547	1	0
0	2016-10-05		195.19.241.15	7	10	232	0	https://ru.wikipedia.org/wiki/Тяньцзиньский_педагогический_университет	6	3333	2	0
0	2006-11-07		Orimy	37	72	10	4	https://zh.wikipedia.org/wiki/天津师范大学	22	3423	7	4
0	2004-12-30	Stub	218.22.168.72	44	61	626	0	https://en.wikipedia.org/wiki/Anhui_University_of_Technology	28	4644	4	0
0	2006-04-22		Shaka zhao	35	60	34	1	https://zh.wikipedia.org/wiki/安徽工业大学	18	4244	6	1
0	2010-03-15	???	Pan Chenguang	29	50	1392	3	https://en.wikipedia.org/wiki/Shaanxi_University_of_Science_and_Technology	11	10061	5	3
0	2010-07-03		Tianyamm2	29	38	7	6	https://zh.wikipedia.org/wiki/陕西科技大学	11	3126	7	10
0	2008-05-14	Start	Xincao	26	30	483	3	https://en.wikipedia.org/wiki/Shanghai_Ocean_University	10	3499	6	3
0	2018-03-11		Daiquping	1	1	3	0	https://wuu.wikipedia.org/wiki/上海海洋大学	0	368	0	0
0	2005-10-22		Niles	94	261	62	7	https://zh.wikipedia.org/wiki/上海海洋大学	71	3532	10	7
0	2006-12-18	Start	Alenyanzi	46	91	311	3	https://en.wikipedia.org/wiki/Lanzhou_University_of_Technology	24	2170	8	5
0	2010-05-19		Confua	27	53	53	2	https://zh.wikipedia.org/wiki/兰州理工大学	10	7991	9	2
0	2006-12-03	Stub	M012	61	94	922	5	https://en.wikipedia.org/wiki/Hangzhou_Dianzi_University	32	6358	11	5
0	2016-08-31		Moaninggale	12	42	11	0	https://ja.wikipedia.org/wiki/杭州電子科技大学	13	593	21	0
0	2019-10-13		MirrorWuu	1	1	1	0	https://wuu.wikipedia.org/wiki/杭州电子科技大学	0	228	0	0
0	2005-05-24		阿牛	53	83	6	4	https://zh.wikipedia.org/wiki/杭州电子科技大学	29	610	19	4
0	2009-02-11	???	Zhongxin	41	86	1196	1	https://en.wikipedia.org/wiki/North_University_of_China	26	9174	20	1
0	2009-05-04		Keasung	11	12	4	0	https://ja.wikipedia.org/wiki/中北大学	7	178	1	0
0	2009-07-28		Keasung	9	12	13	0	https://ko.wikipedia.org/wiki/중베이_대학	10	144	0	0
0	2015-10-10		Bjerrebæk	4	5	54	0	https://no.wikipedia.org/wiki/Norduniversitetet_(Kina)	3	452	1	0
0	2011-04-22		Aswn	6	10	27	0	https://ta.wikipedia.org/wiki/சீனாவின்_வடக்குப்_பல்கலைக்கழகம்	7	511	0	0
0	2007-08-17		Redbad	70	162	50	3	https://zh.wikipedia.org/wiki/中北大学	35	6674	22	3
0	2016-06-05	???	AlfredCheng	19	34	442	0	https://en.wikipedia.org/wiki/Henan_Polytechnic_University	10	3039	3	0
0	2007-04-23		Alexander Gouk~bewiki	11	17	71	0	https://be.wikipedia.org/wiki/Хэнанскі_палітэхнічны_ўніверсітэт	9	1042	2	0
0	2005-09-01		222.136.5.167	59	100	75	4	https://zh.wikipedia.org/wiki/河南理工大学	23	9749	13	8
0	2005-03-01	Start	Dragu	172	385	1293	22	https://en.wikipedia.org/wiki/Novosibirsk_State_University	96	9062	25	23
0	2015-05-31	بذرة	محمد مختاري	8	31	47	3	https://ar.wikipedia.org/wiki/جامعة_نوفوسيبيرسك_الحكومية	27	605	6	3
0	2020-03-07		Raafat	3	5	26	0	https://arz.wikipedia.org/wiki/جامعة_نوفوسيبيرسك_الحكوميه	3	306	4	0
0	2020-12-05		Юлдашева Луиза	2	12	347	17	https://ba.wikipedia.org/wiki/Новосибирск_дәүләт_университеты	2	5085	9	18
0	2020-01-26		Evgen Lewandowskiy	4	6	49	2	https://be.wikipedia.org/wiki/Новасібірскі_дзяржаўны_ўніверсітэт	2	809	3	2
0	2015-05-01		Litev	12	22	126	3	https://bg.wikipedia.org/wiki/Новосибирски_държавен_университет	10	1843	6	3
0	2017-06-25		Trasprd	3	5	182	2	https://cs.wikipedia.org/wiki/Novosibirská_státní_univerzita	4	1575	6	2
0	2006-08-26		70.23.107.229	32	45	118	2	https://de.wikipedia.org/wiki/Staatliche_Universität_Nowosibirsk	23	1045	6	2
0	2014-12-02		V-astro	6	9	586	0	https://el.wikipedia.org/wiki/Κρατικό_Πανεπιστήμιο_του_Νοβοσιμπίρσκ	4	7434	7	0
0	2011-09-26		Rowley	15	26	124	0	https://es.wikipedia.org/wiki/Universidad_Estatal_de_Novosibirsk	9	873	2	0
0	2019-07-23		Estopedist1	1	1	20	0	https://et.wikipedia.org/wiki/Novosibirski_Riiklik_Ülikool	0	222	2	0
0	2019-04-02		کوروش67	9	13	153	3	https://fa.wikipedia.org/wiki/دانشگاه_نووسیبیرسک	9	1634	5	3
0	2013-06-26		Paju	4	5	94	3	https://fi.wikipedia.org/wiki/Novosibirskin_valtionyliopisto	0	1112	2	5
0	2007-01-07	BD	Graouilly	49	102	1202	5	https://fr.wikipedia.org/wiki/Université_d'État_de_Novossibirsk	64	8449	13	5
0	2010-11-13		MA1988	17	26	84	0	https://he.wikipedia.org/wiki/אוניברסיטת_נובוסיבירסק	20	1077	2	0
0	2006-05-27		Siberiano	37	57	311	0	https://it.wikipedia.org/wiki/Università_statale_di_Novosibirsk	34	2267	6	0
0	2008-06-17		210.227.0.250	16	24	10	0	https://ja.wikipedia.org/wiki/ノヴォシビルスク大学	14	1023	9	0
0	2014-06-08		Oh Dong-geon	8	31	101	0	https://ko.wikipedia.org/wiki/국립_노보시비르스크_대학교	11	1273	4	0
0	2009-03-09		Maniago	13	17	80	0	https://nl.wikipedia.org/wiki/Staatsuniversiteit_van_Novosibirsk	13	620	2	0
0	2012-05-25		Daemusin	20	29	445	9	https://pl.wikipedia.org/wiki/Nowosybirski_Uniwersytet_Państwowy	18	3665	7	18
0	2019-06-25		Zervim	2	4	151	4	https://pt.wikipedia.org/wiki/Universidade_Estadual_de_Novosibirsk	0	989	2	4
39	2004-06-03		193.124.163.252	287	738	1005	22	https://ru.wikipedia.org/wiki/Новосибирский_государственный_университет	155	15641	14	24
0	2011-09-13		MirkoS18	7	10	24	0	https://sh.wikipedia.org/wiki/Univerzitet_u_Novosibirsku	5	243	0	0
0	2018-04-24		Isko1901	2	6	105	0	https://tl.wikipedia.org/wiki/Pamantasang_Estatal_ng_Novosibirsk	2	832	0	0
0	2019-01-17		Кучер Олексій	5	10	184	2	https://uk.wikipedia.org/wiki/Новосибірський_державний_університет	2	2574	5	2
0	2018-12-08		Daiquping	1	1	3	0	https://wuu.wikipedia.org/wiki/新西伯利亚国立大学	0	252	0	0
0	2018-11-26		如沐西风	7	32	29	12	https://zh.wikipedia.org/wiki/新西伯利亚国立大学	3	4640	6	19
0	2018-12-10		Gakutai	2	2	3	0	https://zh-yue.wikipedia.org/wiki/新西伯利亞國立大學	0	204	0	0
0	2004-11-08	Start	130.225.29.254	107	230	772	150	https://en.wikipedia.org/wiki/National_Research_Nuclear_University_MEPhI_(Moscow_Engineering_Physics_Institute)	50	5325	8	163
0	2017-03-04	بذرة	بئرالعاتر	10	24	100	3	https://ar.wikipedia.org/wiki/الجامعة_الوطنية_للبحوث_النووية_(روسيا)	20	1248	1	3
0	2020-02-22		Raafat	3	5	34	1	https://arz.wikipedia.org/wiki/الجامعة_الوطنيه_للبحوث_النوويه	3	365	4	1
0	2020-12-20		Юлдашева Луиза	3	12	515	95	https://ba.wikipedia.org/wiki/«МИФИ»_милли_тикшеренеү_ядро_университеты	1	7685	12	101
0	2018-11-17		Evgen Lewandowskiy	6	9	286	4	https://be.wikipedia.org/wiki/Нацыянальны_даследчы_ядзерны_ўніверсітэт_«МІФІ»	4	4090	3	4
0	2021-04-16		Winterabend	8	27	80	1	https://de.wikipedia.org/wiki/Nationale_Forschungsuniversität_für_Kerntechnik_„MIFI“	1	1016	5	1
0	2021-07-03		ChandraHelsinky	1	22	92	2	https://es.wikipedia.org/wiki/Instituto_de_Ingeniería_Física_de_Moscú	0	671	1	2
0	2015-03-22	ébauche	Déminheure	9	13	130	0	https://fr.wikipedia.org/wiki/Institut_d'ingénierie_physique_de_Moscou	9	930	1	0
0	2016-12-03		Oyoyoy	10	24	281	1	https://he.wikipedia.org/wiki/האוניברסיטה_הלאומית_למחקר_גרעיני	14	3332	4	1
0	2014-08-09		Twotwo2019	8	25	70	0	https://ko.wikipedia.org/wiki/모스크바공학물리연구소_부속_국립원자력대학	9	955	2	0
0	2021-08-08		Wobuzowatsj	2	2	92	1	"https://nl.wikipedia.org/wiki/Nationale_Nucleaire-onderzoeksuniversiteit_""MIFI"""	1	813	1	1
39	2005-04-04		Irbis~ruwiki	384	985	3364	171	https://ru.wikipedia.org/wiki/Национальный_исследовательский_ядерный_университет_«МИФИ»	153	50027	35	184
0	2018-07-11		Isko1901	2	3	122	0	https://tl.wikipedia.org/wiki/National_Research_Nuclear_University_MEPhI	1	1109	0	0
