id	University	university
1375	King Fahd University of Petroleum and Minerals	King Fahd Univ Petrol & Minerals
1379	University of Sfax	Univ Sfax
1399	Karlsruhe Institute of Technology	Karlsruhe Inst Technol
1400	Aalto University	Aalto Univ
1407	Northwestern Polytechnical University	Northwestern Polytech Univ
1408	Sichuan University	Sichuan Univ
1409	Harbin Institute of Technology	Harbin Inst Technol
1410	Dalian University of Technology	Dalian Univ Technol
1411	Tianjin University	Tianjin Univ
1412	Sun Yat-sen University	Sun Yat-sen Univ
1413	Xiamen University	Xiamen Univ
1414	Beijing Normal University	Beijing Normal Univ
1415	China Agricultural University	China Agr Univ
1416	Tongji University	Tongji Univ
1417	Shanghai University	Shanghai Univ
1418	East China University of Science and Technology	E China Univ Sci & Technol
1419	Xi'an Jiaotong University	Xi'an Jiaotong Univ
1431	University of Pretoria	Univ Pretoria
1432	Stellenbosch University	Stellenbosch Univ
1433	University of Wollongong	Univ Wollongong
1434	University of Tasmania	Univ Tasmania
1435	Queensland University of Technology	Queensland Univ Technol
1436	La Trobe University	La Trobe Univ
1437	Macquarie University	Macquarie Univ
1438	Université de Sherbrooke	Univ Sherbrooke
1439	Concordia University	Concordia Univ
1440	York University	York Univ
1441	Memorial University of Newfoundland	Mem Univ Newfoundland
1442	Yokohama City University	Yokohama City Univ
1443	Nihon University	Nihon Univ
1444	Juntendo University	Juntendo Univ
1451	Massey University	Massey Univ
1452	University of Malaya	Univ Malaya
1458	Pontificia Universidad Católica de Chile	Pontificia Univ Católica Chile
1459	Universidade Federal de São Paulo	Univ Fed São Paulo
1460	Universidade Federal de Santa Catarina	Univ Fed Santa Catarina
1461	Universidade Estadual Paulista	Univ Estadual Paulista
1462	University of Central Florida	Univ Cent Florida
1463	Drexel University	Drexel Univ
1464	University at Albany, The State University of New York	Univ Albany - SUNY
1465	Georgia State University	Georgia State Univ
1466	Utah State University	Utah State Univ
1467	San Diego State University	San Diego State Univ
1468	University of Toledo	Univ Toledo
1469	Rush University	Rush Univ
1470	University of Mississippi	Univ Mississippi
1471	University of Wisconsin, Milwaukee	Univ Wisconsin - Milwaukee
1472	University of New Hampshire	Univ New Hampshire
1473	Mississippi State University	Mississippi State Univ
1474	George Mason University	George Mason Univ
1475	University of Belgrade	Univ Belgrade
1476	Federal University of Mato Grosso	Fed Univ Mato Grosso
1477	University of Eastern Finland	Univ East Finland
1479	Universidade Federal do Paraná	Univ Fed Paraná
1480	Universidade Federal de Viçosa	Univ Fed Viçosa
1481	Federal University of Pernambuco	Fed Univ Pernambuco
1482	Federal University of Santa Maria	Fed Univ Santa Maria
1483	Universidade de Brasília	Univ Brasília
1484	Universidade Federal do Ceará	Univ Fed Ceará
1485	Federal University of São Carlos	Fed Univ São Carlos
1486	Rio de Janeiro State University	Rio de Janeiro State Univ
1487	State University of Maringá	State Univ Maringá
1488	Universidade Federal da Bahia	Univ Fed Bahia
1489	Universidade Federal Fluminense	Univ Fed Fluminense
1490	Londrina State University	Londrina State Univ
1491	Federal University of Uberlândia	Univ Fed Uberlândia
1492	Universidade Federal de Goiás	Univ Fed Goiás
1493	Federal University of Paraíba	Fed Univ Paraíba
1494	Federal University of Lavras	Fed Univ Lavras
1495	Federal University of Pelotas	Fed Univ Pelotas
1497	Federal University of Para	Fed Univ Para
1498	Federal University of Rio Grande do Norte	Fed Univ Rio Grande do Norte
1501	University of the Free State	Univ Free State
1502	University of KwaZulu-Natal	Univ KwaZulu-Natal
1503	Rhodes University	Rhodes Univ
1506	University of Johannesburg	Univ Johannesburg
1507	North-West University	North-West Univ
1515	Tehran University of Medical Sciences	Tehran Univ Med Sci
1516	University of Tehran	Univ Tehran
1517	Sharif University of Technology	Sharif Univ Technol
1518	Shiraz University	Shiraz Univ
1519	Tarbiat Modares University	Tarbiat Modares Univ
1520	Amirkabir University of Technology	Amirkabir Univ Technol
1521	Shiraz University of Medical Science	Shiraz Univ Med Sci
1522	Isfahan University of Technology	Isfahan Univ Technol
1523	Iran University of Science and Technology	Iran Univ Sci & Technol
1524	University of Tabriz	Univ Tabriz
1525	Shahid Beheshti University of Medical Sciences	Shahid Beheshti Univ Med Sci
1526	Université du Québec à Montréal	Univ Quebec Montreal
1528	Ain Shams University	Ain Shams Univ
1529	Cairo University	Cairo Univ
1530	Gunma University	Gunma Univ
1532	University of Canterbury	Univ Canterbury
1533	Central South University	Cent S Univ
1534	Southeast University	Southeast Univ
1535	East China Normal University	E China Normal Univ
1536	South China University of Technology	S China Univ Technol
1537	Hunan University	Hunan Univ
1538	University of Science and Technology Beijing	Univ Sci & Technol Beijing
1539	East Carolina University	E Carolina Univ
1540	Florida International University	Florida Intl Univ
1542	Ehime University	Ehime Univ
1543	Kindai University	Kindai Univ
1544	Kitasato University	Kitasato Univ
1545	Shinshu University	Shinsu Univ
1546	Tokai University	Tokai Univ
1547	Tokyo University of Agriculture and Technology	Tokyo Univ Agr & Technol
1548	Tottori University	Tottori Univ
1549	Yamagata University	Yamagata Univ
1550	Yamaguchi University	Yamaguchi Univ
1552	University of Texas Health Science Center at San Antonio	Univ Texas - Hlth Sci Ctr - San Antonio
1553	University of Texas Southwestern Medical Center at Dallas	Univ Texas - Southwestern Med Ctr - Dallas
1555	University of Texas at Arlington	Univ Texas - Arlington
1557	University of Texas at El Paso	Univ Texas - El Paso
1577	James Cook University	James Cook Univ
2335	Korea University	Korea Univ
2340	Seoul National University	Seoul Natl Univ
2347	Yonsei University	Yonsei Univ
2354	Kyungpook National University	Kyungpook Natl Univ
2357	Chonnam National University	Chonnam Natl Univ
2361	Sungkyunkwan University	Sungkyunkwan Univ
2369	Inha University	Inha Univ
2371	Chungnam National University	Chungnam Natl Univ
2373	Kyung Hee University	Kyung Hee Univ
2380	Ewha Womans University	Ewha Womans Univ
2383	Hanyang University	Hanyang Univ
2389	University of Ulsan	Univ Ulsan
2393	Ajou University	Ajou Univ
2395	Jeonbuk National University	Jeonbuk Natl Univ
2397	Catholic University of Korea	Cath Univ Korea
2404	Konkuk University	Konkuk Univ
2406	Korea Advanced Institute of Science and Technology	Korea Adv Inst Sci & Technol
2407	Pohang University of Science and Technology	Pohang Univ Sci & Technol
2408	Pusan National University	Pusan Natl Univ
2415	National Central University	Natl Cent Univ
2416	National Chiao Tung University	Natl Chiao Tung Univ
2417	National Tsing Hua University	Natl Tsing Hua Univ
2418	National Cheng Kung University	Natl Cheng Kung Univ
2420	National Taiwan University	Natl Taiwan Univ
2422	National Yang-Ming University	Natl Yang-Ming Univ
2425	Chang Gung University	Chang Gung Univ
2428	National Sun Yat-sen University	Natl Sun Yat-sen Univ
2430	National Chung Hsing University	Natl Chung Hsing Univ
2431	Kaohsiung Medical University	Kaohsiung Med Univ
2434	National Taiwan University of Science & Technology	Natl Taiwan Univ Sci & Technol
2435	Indian Institute of Science	Indian Inst Sci
2436	Indian Institute of Technology Bombay	Indian Inst Technol Bombay
2438	Manipal Academy of Higher Education	Manipal Acad High Educ
2440	Vellore Institute of Technology	Vellore Inst Technol
2441	Indian Institute of Technology Kharagpur	Indian Inst Technol Kharagpur
2443	All India Institute of Medical Science	All India Inst Med Sci
2445	Indian Institute of Technology Madras	Indian Inst Technol Madras
2446	Indian Institute of Technology Delhi	Indian Inst Technol Delhi
2448	Banaras Hindu University	Banaras Hindu Univ
2451	Indian Institute of Technology Kanpur	Indian Inst Technol Kanpur
2452	University of Delhi	Univ Delhi
2454	Jadavpur University	Jadavpur Univ
2455	Postgraduate Institute of Medical Education & Research	Postgrad Inst Med Educ & Res
2458	Panjab University	Panjab Univ
2460	Aligarh Muslim University	Aligarh Muslim Univ
2461	University of Calcutta	Univ Calcutta
2462	Anna University	Anna Univ
2463	University of Hyderabad	Univ Hyderabad
2466	Indian Institute of Technology Roorkee	Indian Inst Technol Roorkee
2470	Annamalai University	Annamalai Univ
2472	Jawaharlal Nehru University	Jawaharlal Nehru Univ
2475	Indian Statistical Institute	Indian Stat Inst
2478	Guru Nanak Dev University	Guru Nanak Dev Univ
2489	Bharathiar University	Bharathiar Univ
2490	Jamia Millia Islamia	Jamia Millia Islamia
2491	Savitribai Phule Pune University	Savitribai Phule Pune Univ
2499	Indian Institute of Technology Guwahati	Indian Inst Technol Guwahati
2515	Pondicherry University	Pondicherry Univ
2525	Mahidol University	Mahidol Univ
2529	Chiang Mai University	Chiang Mai Univ
2531	Chulalongkorn University	Chulalongkorn Univ
2533	Khon Kaen University	Khon Kaen Univ
2535	Prince of Songkla University	Prince Songkla Univ
2537	Kasetsart University	Kasetsart Univ
2546	Université Paris-Est Créteil Val de Marne	Univ Paris-Est Créteil Val de Marne
2578	Université Sorbonne Paris Nord	Univ Sorbonne Paris Nord
2580	Université de Versailles Saint-Quentin-en-Yvelines	Univ Versailles Saint-Quentin-en-Yvelines
2594	Université de Tours	Univ Tours
2596	Université de Nantes	Univ Nantes
2604	University of Caen Normandy	Univ Caen Normandy
2621	University of Poitiers	Univ Poitiers
2625	University of Rennes 1	Univ Rennes 1
2630	University of Rouen	Univ Rouen
2634	University of Strasbourg	Univ Strasbourg
2638	Université Toulouse III - Paul Sabatier	Univ Toulouse III - Paul Sabatier
2641	Aix-Marseille University	Aix-Marseille Univ
2660	University of Angers	Univ Angers
2662	Claude Bernard Lyon 1 University	Claude Bernard Lyon 1 Univ
2683	University of Western Brittany	Univ West Brittany
2701	Université de Lorraine	Univ Lorraine
2703	University of Orléans	Univ Orléans
2779	Institut National Polytechnique de Toulouse	Inst Natl Polytech Toulouse
2812	University of Waikato	Univ Waikato
2856	Chung-Ang University	Chung-Ang Univ
2874	National Research Tomsk Polytechnic University	Natl Res Tomsk Polytech Univ
2881	Moscow Institute of Physics and Technology	Moscow Inst Phys & Technol
2943	Swinburne University of Technology	Swinburne Univ Technol
2944	University of Canberra	Univ Canberra
2945	Western Sydney University	West Sydney Univ
3327	Soochow University	Soochow Univ
3328	University of Electronic Science and Technology of China	Univ Electron Sci & Technol China
3329	Capital Medical University	Capital Med Univ
3330	Air Force Medical University	Air Force Med Univ
3331	Chongqing University	Chongqing Univ
3332	Beijing University of Chemical Technology	Beijing Univ Chem Technol
3333	Second Military Medical University	Second Mil Med Univ
3334	Beijing Institute of Technology	Beijing Inst Technol
3335	Nanjing Medical University	Nanjing Med Univ
3336	Beihang University	Beihang Univ
3337	Huazhong Agricultural University	Huazhong Agr Univ
3338	China Medical University	China Med Univ
3339	Nanjing Agricultural University	Nanjing Agr Univ
3340	Zhengzhou University	Zhengzhou Univ
3341	Xidian University	Xidian Univ
3342	Army Medical University	Army Med Univ
3343	Nanjing University of Aeronautics and Astronautics	Nanjing Univ Aeronaut & Astronaut
3344	South China Normal University	S China Normal Univ
3345	Northeast Normal University	Northeast Normal Univ
3346	Nanjing University of Science and Technology	Nanjing Univ Sci & Technol
3347	Nanjing Tech University	Nanjing Tech Univ
3348	National University of Defense Technology	Natl Univ Defense Technol
3349	Donghua University	Donghua Univ
3350	Ocean University of China	Ocean Univ China
3351	Northeastern University	Northeastern Univ
3352	Jiangsu University	Jiangsu Univ
3353	Southwest University	Southwest Univ
3354	China Pharmaceutical University	China Pharmaceut Univ
3356	Northwest Agriculture & Forestry University	Northwest Agr & Forestry Univ
3357	Zhejiang University of Technology	Zhejiang Univ Technol
3358	Beijing University of Technology	Beijing Univ Technol
3359	Wuhan University of Technology	Wuhan Univ Technol
3360	Harbin Medical University	Harbin Med Univ
3361	Fuzhou University	Fuzhou Univ
3362	Jinan University	Jinan Univ
3363	Chongqing Medical University	Chongqing Med Univ
3364	Beijing Jiaotong University	Beijing Jiaotong Univ
3365	Peking Union Medical College	Peking Union Med Coll
3366	Nanjing Normal University	Nanjing Normal Univ
3367	Nanchang University	Nanchang Univ
3368	Shaanxi Normal University	Shaanxi Normal Univ
3369	Xiangtan University	Xiangtan Univ
3370	Southern Medical University	South Med Univ
3371	Beijing University of Posts & Telecommunications	Beijing Univ Posts & Telecom
3372	Zhejiang Normal University	Zhejiang Normal Univ
3373	South China Agricultural University	S China Agr Univ
3374	Yangzhou University	Yangzhou Univ
3375	Southwest Jiaotong University	Southwest Jiaotong Univ
3376	Tianjin Medical University	Tianjin Med Univ
3379	Qingdao University of Science & Technology	Qingdao Univ Sci & Technol
3380	China University of Geosciences	China Univ Geosci
3381	Central China Normal University	Cent China Normal Univ
3382	Yunnan University	Yunnan Univ
3383	Henan University	Henan Univ
3384	Shanxi University	Shanxi Univ
3385	Shanghai Normal University	Shanghai Normal Univ
3386	Anhui Medical University	Anhui Med Univ
3387	Shenyang Pharmaceutical University	Shenyang Pharmaceut Univ
3388	Harbin Engineering University	Harbin Engn Univ
3389	Hunan Normal University	Hunan Normal Univ
3390	Shandong Agricultural University	Shandong Agr Univ
3391	Ningbo University	Ningbo Univ
3392	Northwest University	Northwest Univ
3393	Henan Normal University	Henan Normal Univ
3394	Hefei University of Technology	Hefei Univ Technol
3395	Qingdao University	Qingdao Univ
3396	Yanshan University	Yanshan Univ
3397	Wenzhou Medical University	Wenzhou Med Univ
3398	Capital Normal University	Capital Normal Univ
3399	Northeast Forestry University	Northeast Forestry Univ
3400	Hebei University	Hebei Univ
3401	Guangxi University	Guangxi Univ
3402	University of Jinan	Univ Jinan
3403	Northwest Normal University	Northwest Normal Univ
3404	Anhui Normal University	Anhui Normal Univ
3405	Liaocheng University	Liaocheng Univ
3406	Anhui University	Anhui Univ
3407	Shandong Normal University	Shandong Normal Univ
3408	Hebei Medical University	Hebei Med Univ
3409	Nantong University	Nantong Univ
3410	China University of Mining and Technology	China Univ Min & Technol
3411	Shantou University	Shantou Univ
3413	Hohai University	Hohai Univ
3414	Hangzhou Normal University	Hangzhou Normal Univ
3415	Hong Kong Baptist University	Hong Kong Baptist Univ
3416	China University of Petroleum Beijing	China Univ Petrol Beijing
3417	Zhejiang Sci-Tech University	Zhejiang Sci-Tech Univ
3418	Beijing Forestry University	Beijing Forestry Univ
3419	Kunming University of Science & Technology	Kunming Univ Sci & Technol
3420	Taiyuan University of Technology	Taiyuan Univ Technol
3421	North China Electric Power University	N China Elect Power Univ
3422	Wenzhou University	Wenzhou Univ
3423	Tianjin Polytechnic University	Tianjin Polytech Univ
3456	University of Wyoming	Univ Wyoming
3470	North Dakota State University	N Dakota State Univ
3471	University of Nebraska Medical Center	Univ Nebraska Med Ctr
3472	University of North Texas	Univ N Texas
3475	Lehigh University	Lehigh Univ
3476	Ohio University	Ohio Univ
3477	Montana State University	Montana State Univ
3479	Southern Illinois University, Carbondale	South Illinois Univ - Carbondale
3481	University of Akron	Univ Akron
3482	University of Nevada, Las Vegas	Univ Nevada - Las Vegas
3483	University of North Carolina, Charlotte	Univ N Carolina - Charlotte
3484	Kent State University	Kent State Univ
3485	Boston College	Boston Coll
3486	New Mexico State University	New Mexico State Univ
3487	Loma Linda University	Loma Linda Univ
3488	University of Missouri, Kansas City	Univ Missouri - Kansas City
3490	University of Idaho	Univ Idaho
3491	University of Memphis	Univ Memphis
3492	Binghamton University, State University of New York	Binghamton Univ - SUNY
3494	Michigan Technological University	Michigan Technol Univ
3495	Missouri University of Science & Technology	Missouri Univ Sci & Technol
3496	Old Dominion University	Old Dominion Univ
3497	Colorado School of Mines	Colorado Sch Mines
3498	Uniformed Services University of the Health Sciences	Uniformed Services Univ Hlth Sci
3499	Miami University	Miami Univ
3500	University of Maine, Orono	Univ Maine - Orono
3502	Portland State University	Portland State Univ
3503	University of Rhode Island	Univ Rhode Island
3506	University of Maryland, Baltimore County	Univ Maryland - Baltimore County
3507	University of Montana	Univ Montana
3508	New Jersey Institute of Technology	New Jersey Inst Technol
3509	Illinois Institute of Technology	Illinois Inst Technol
3510	College of William and Mary	Coll William & Mary
3512	Marquette University	Marquette Univ
3514	Florida Atlantic University	Florida Atlantic Univ
3515	University of North Carolina, Greensboro	Univ N Carolina - Greensboro
3516	University of North Dakota	Univ N Dakota
3517	Baylor University	Baylor Univ
3518	University of Alaska, Fairbanks	Univ Alaska - Fairbanks
3524	Southern Methodist University	Southern Methodist Univ
3527	University of Denver	Univ Denver
3528	South Dakota State University	S Dakota State Univ
3532	Oakland University	Oakland Univ
3537	Rochester Institute of Technology	Rochester Inst Technol
3573	Ryerson University	Ryerson Univ
3574	University of New Brunswick	Univ New Brunswick
3581	Brock University	Brock Univ
3582	University of Regina	Univ Regina
3634	University of Toyama	Univ Toyama
3635	Tokyo Women's Medical University	Tokyo Women's Med Univ
3636	Nagoya City University	Nagoya City Univ
3637	Kyoto Prefectural University of Medicine	Kyoto Prefect Univ Med
3638	Tokyo University of Science	Tokyo Univ Sci
3642	Osaka Prefecture University	Osaka Prefect Univ
3645	Jichi Medical University	Jichi Med Univ
3650	Hirosaki University	Hirosaki Univ
3656	Tokyo Metropolitan University	Tokyo Metropolitan Univ
3687	Curtin University	Curtin Univ
3688	Deakin University	Deakin Univ
3689	University of New England	Univ New England
3690	Murdoch University	Murdoch Univ
3691	Victoria University, Melbourne	Victoria Univ - Melbourne
3705	National University of Cordoba	Natl Univ Cordoba
3707	Universidad de Concepción	Univ Concepción
3708	Universidad Nacional de Colombia	Univ Natl Colombia
3709	Mansoura University	Mansoura Univ
3711	Zagazig University	Zagazig Univ
3712	Assiut University	Assiut Univ
3715	Ferdowsi University of Mashhad	Ferdowsi Univ Mashhad
3716	K.N. Toosi University of Technology	KN Toosi Univ Technol
3717	Shahid Beheshti University	Shahid Beheshti Univ
3718	University of Isfahan	Univ Isfahan
3719	Bu-Ali Sina University	Bu-Ali Sina Univ
3720	Razi University	Razi Univ
3721	Tabriz University of Medical Sciences	Tabriz Univ Med Sci
3722	University of Guilan	Univ Guilan
3723	Jordan University of Science & Technology	Jordan Univ Sci & Technol
3724	University of Jordan	Univ Jordan
3726	Kuwait University	Kuwait Univ
3727	American University of Beirut	American Univ Beirut
3728	Universiti Putra Malaysia	Univ Putra Malaysia
3729	National Polytechnic Institute, Mexico	Natl Polytech Inst - Mexico
3730	Victoria University of Wellington	Victoria Univ Wellington
3736	University of Nis	Univ Nis
3737	Gyeongsang National University	Gyeongsang Natl Univ
3739	Sogang University	Sogang Univ
3740	Kangwon National University	Kangwon Natl Univ
3742	Pukyong National University	Pukyong Natl Univ
3743	Gwangju Institute of Science & Technology	Gwangju Inst Sci & Technol
3744	Chungbuk National University	Chungbuk Natl Univ
3746	Chosun University	Chosun Univ
3748	Sejong University	Sejong Univ
3749	Dong-a University	Dong-a Univ
3751	Kwangwoon University	Kwangwoon Univ
3753	China Medical University, Taiwan	China Med Univ - Taiwan
3755	National Taipei University of Technology	Natl Taipei Univ Technol
3756	Taipei Medical University	Taipei Med Univ
3758	Feng Chia University	Feng Chia Univ
3759	Chung Yuan Christian University	Chung Yuan Christian Univ
3760	National Chung Cheng University	National Chung Cheng Univ
3761	National Taiwan Normal University	Natl Taiwan Normal Univ
3762	Chung Shan Medical University	Chung Shan Med Univ
3765	Universidad de la República	Univ Republic
6003	Universidade Federal do ABC	Univ Fed ABC
6071	Universidade Federal de Juiz de Fora	Univ Fed Juiz de Fora
6080	Universidade Federal do Espírito Santo	Univ Fed Espírito Santo
7268	University of Bordeaux	Univ Bordeaux
9274	Université des Sciences et de la Technologie Houari Boumediene	Univ Sci Technol Houari Boumediene
9301	University of Ghana	Univ Ghana
9308	Makerere University	Makerere Univ
9424	University of Antioquia	Univ Antioquia
9428	Universidad de los Andes	Univ Los Andes Colombia
9430	Tanta University	Tanta Univ
9438	Thapar Institute of Engineering and Technology	Thapar Inst Engn & Technol
9439	Institute of Chemical Technology	Inst Chem Technol
9440	National Institute of Technology Rourkela	Natl Inst Technol Rourkela
9444	Mashhad University of Medical Sciences	Mashhad Univ Med Sci
9462	University of Kashan	Univ Kashan
9463	Isfahan University of Medical Sciences	Isfahan Univ Med Sci
9485	Shahid Bahonar University of Kerman	Shahid Bahonar Univ Kerman
9486	Urmia University	Urmia Univ
9487	Yazd University	Yazd Univ
9488	University of Shahrood	Univ Shahrood
9489	University of Mazandaran	Univ Mazandaran
9490	Semnan University	Semnan Univ
9491	Islamic Azad University Science & Research Tehran	Islamic Azad Univ Sci & Res Tehran
9501	Shizuoka University	Shizuoka Univ
9508	Shimane University	Shimane Univ
9515	Toho University	Toho Univ
9530	Ritsumeikan University	Ritsumeikan Univ
9532	Nara Institute of Science and Technology	Nara Inst Sci & Technol
9541	Northeast Agricultural University	Northeast Agr Univ
9550	Universiti Teknologi Malaysia	Univ Tek Malaysia
9560	Universidad Autónoma Metropolitana	Univ Aut Met
9568	Tecnológico de Monterrey (ITESM)	Technol Monterrey ITESM
9570	University of Ibadan	Univ Ibadan
9575	Sultan Qaboos University	Sultan Qaboos Univ
9580	University of the Punjab	Univ Punjab
9581	University of Karachi	Univ Karachi
9582	University of Agriculture Faisalabad	Univ Agr Faisalabad
9589	Sichuan Agricultural University	Sichuan Agr Univ
9590	China Academy of Chinese Medical Sciences	China Acad Chin Med Sci
9592	Jiangnan University	Jiangnan Univ
9594	Shenzhen University	Shenzhen Univ
9596	Renmin University of China	Renmin Univ China
9597	Guangxi Medical University	Guangxi Med Univ
9600	Fujian Medical University	Fujian Med Univ
9604	Guangdong University of Technology	Guangdong Univ Technol
9606	China Jiliang University	China Jiliang Univ
9610	Nanjing University of Information Science and Technology	Nanjing Univ Info Sci & Technol
9612	Dalian Medical University	Dalian Med Univ
9614	Tianjin University of Science and Technology	Tianjin Univ Sci & Technol
9616	Jiangxi Normal University	Jiangxi Normal Univ
9618	Hubei University	Hubei Univ
9620	Xinjiang University	Xinjiang Univ
9624	Hebei University of Technology	Hebei Univ Technol
9626	Fujian Normal University	Fujian Normal Univ
9628	Heilongjiang University	Heilongjiang Univ
9630	Zhejiang Gongshang University	Zhejiang Gongshang Univ
9632	Shanghai University of Traditional Chinese Medicine	Shanghai Univ Tradit Chinese Med
9636	Nanjing University of Posts and Telecommunications	Nanjing Univ Posts & Telecom
9640	Guangxi Normal University	Guangxi Normal Univ
9642	Guangzhou Medical University	Guangzhou Med Univ
9650	Henan University of Science and Technology	Henan Univ Sci & Technol
9652	Shandong University of Technology	Shandong Univ Technol
9654	Guizhou University	Guizhou Univ
9658	Changzhou University	Changzhou Univ
9662	Nanjing Forestry University	Nanjing Forestry Univ
9664	Tianjin Normal University	Tianjin Normal Univ
9666	Anhui University of Technology	Anhui Univ Technol
9668	Shaanxi University of Science & Technology	Shaanxi Univ Sci & Technol
9670	Shanghai Ocean University	Shanghai Ocean Univ
9674	Lanzhou University of Technology	Lanzhou Univ Technol
9676	Hangzhou Dianzi University	Hangzhou Dianzi Univ
9678	China University of Petroleum East China	China Univ Petrol E China
9680	North University of China	N Univ China
9682	Henan Polytechnic University	Henan Polytech Univ
9692	Novosibirsk State University	Novosibirsk State Univ
9694	National Research Nuclear University MEPhI	Moscow Engn Phys Inst
9695	King Khalid University	King Khalid Univ
9696	King Abdullah University of Science and Technology	King Abdullah Univ Sci & Technol
9700	Yeungnam University	Yeungnam Univ
9704	University of Seoul	Univ Seoul
9709	Keimyung University	Keimyung Univ
9711	Dankook University	Dankook Univ
9713	Hallym University	Hallym Univ
9723	Dongguk University	Dongguk Univ
9725	Hongik University	Hongik Univ
9726	Inje University	Inje Univ
9732	Seoul National University of Science and Technology	Seoul Ntl Univ Sci & Technol
9734	University of Science and Technology	Univ Sci & Technol
9790	National Taiwan Ocean University	Natl Taiwan Ocean Univ
9794	National Defense Medical Center	Natl Def Med Ctr
9812	United Arab Emirates University	United Arab Emirates Univ
9814	University of Massachusetts Boston	Univ Massachusetts Boston
9818	University of Massachusetts Lowell	Univ Massachusetts Lowell
9826	Rutgers, The State University of New Jersey	Rutgers - State Univ New Jersey
9950	Iran University of Medical Sciences	Iran Univ Med Sci
10000	Qatar University	Qatar Univ
10058	ITMO University	ITMO Univ
10060	Kazan (Volga region) Federal University	Kazan (Volga region) Fed Univ
10084	Ural Federal University	Ural Fed Univ
10109	University of Calabria	Univ Calabria
10113	Augusta University	Augusta Univ
10261	COMSATS Institute of Information Technology	COMSATS Inst Info Technol
10267	Edith Cowan University	Edith Cowan Univ
10324	Inner Mongolia University	Inner Mongolia Univ
10325	Wuhan University of Science and Technology	Wuhan Univ Sci & Technol
10326	GuangZhou University	GuangZhou Univ
10327	Xuzhou Medical College	Xuzhou Med Coll
10329	Changsha University of Science and Technology	Changsha Univ Sci & Technol
10330	Xi'An University of Technology	Xi'An Univ Technol
10331	Qufu Normal University	Qufu Normal Univ
10332	Dalian Maritime University	Dalian Maritime Univ
10333	Nanjing University of Chinese Medicine	Nanjing Univ Chin Med
10335	Henan Agricultural University	Henan Agr Univ
10336	Jiangsu Normal University	Jiangsu Normal Univ
10337	Tianjin University of Technology	Tianjin Univ Technol
10338	Shandong University of Science and Technology	Shandong Univ Sci & Technol
10339	Beijing University of Chinese Medicine	Beijing Univ Chin Med
10344	University of Montpellier	Univ Montpellier
10345	Australian Catholic University	Australian Cath Univ
10432	University of Lille	Univ Lille
10435	University of the Chinese Academy of Sciences	Univ Chinese Acad Sci
10445	Mohammed V University	Mohammed V Univ
10548	Gustave Eiffel University	Gustave Eiffel Univ
10551	Université de Paris	Univ Paris
10552	Institut Polytechnique de Paris	Inst Polytech Paris
10553	Université Paris-Saclay	Univ Paris-Saclay
10554	Université Paris Sciences et Lettres	Univ Paris Sci Lettres
10560	Université Côte d’Azur	Univ Côte d’Azur
10561	Université Grenoble Alpes	Univ Grenoble Alpes
16188	Ulsan National Institute of Science and Technology	Ulsan Natl Inst Sci & Technol
16435	Jeju National University	Jeju Natl Univ
16437	Tezpur University	Tezpur Univ
16441	University of Yamanashi	Univ Yamanashi
16445	Indian Institute of Technology (Indian School of Mines)	Indian Inst Technol (Indian Sch Mines)
16446	Addis Ababa University	Addis Ababa Univ
16482	Institut National de la Recherche Scientifique	Inst Natl Recherche Sci
18000	Southwest Petroleum University	Southwest Petrol Univ
18001	University of Shanghai for Science and Technology	Univ Shanghai Sci & Technol
18002	Fujian Agriculture and Forestry University	Fujian Agr & Forestry Univ
18003	Xinjiang Medical University	Xinjiang Med Univ
18004	Chang’an University	Chang'an Univ
18005	Anhui Agricultural University	Anhui Agr Univ
18006	Huaqiao University	Huaqiao Univ
18008	Harbin University of Science and Technology	Harbin Univ Sci & Technol
18010	Southwest University of Science and Technology	Southwest Univ Sci & Technol
18012	Xi'an University of Architecture and Technology	Xi'an Univ Arch & Technol
18015	Qingdao Agricultural University	Qingdao Agr Univ
18016	Henan University of Technology	Henan Univ Technol
18017	Guilin University of Technology	Guilin Univ Technol
18020	Shihezi University	Shihezi Univ
18021	Chengdu University of Technology	Chengdu Univ Technol
18023	Shanxi Medical University	Shanxi Med Univ
18026	Hunan Agricultural University	Hunan Agr Univ
18028	Kunming Medical University	Kunming Med Univ
18030	China Three Gorges University	China Three Gorges Univ
18031	Xinxiang Medical University	Xinxiang Med Univ
18032	Hunan University of Science and Technology	Hunan Univ Sci & Technol
18033	South Central University for Nationalities	S Cent Univ Nationalities
18034	Guangdong Pharmaceutical University	Guangdong Pharmaceut Univ
18036	Wuhan Institute of Technology	Wuhan Institute Technol
18037	Hainan University	Hainan Univ
18040	JiLin Agriculture University	JiLin Agr Univ
18041	North China University of Science and Technology	N China Univ Sci & Technol
18043	University of South China	Univ S China
18053	Babol Noshirvani University of Technology	Babol Noshirvani Univ Technol
18055	Sahand University of Technology	Sahand Univ Technol
18058	University of Zanjan	Univ Zanjan
18065	Universiti Teknologi Petronas	Univ Teknologi Petronas
18066	National University of Sciences and Technology, Islamabad	Natl Univ Sci & Technol - Islamabad
18069	Gachon University	Gachon Univ
18072	Auckland University of Technology	Auckland Univ Technol
18076	Université de Tunis El Manar	Univ Tunis El Manar
18077	University of Monastir	Univ Monastir
18085	Texas State University	Texas State Univ
18090	Charles Sturt University	Charles Sturt Univ
