grid_id	(No column name)
grid.254183.9	877
grid.99921.3a	691
grid.480408.0	24
grid.448280.2	25
grid.449936.5	10
grid.461740.0	20
grid.465764.2	2
grid.469969.d	5
grid.463044.1	1
grid.444896.3	165
grid.411220.4	1189
grid.410766.2	1221
grid.252245.6	5505
grid.432032.4	936
grid.442548.b	462
grid.471037.6	7
grid.503513.1	1
grid.488661.5	3
grid.425289.0	4
grid.470506.0	5
grid.457835.8	1
grid.455217.0	2
grid.502409.a	1
grid.446176.6	58
grid.507921.8	19
grid.437910.8	57
grid.439130.c	15
grid.452805.e	6
grid.413718.8	12
grid.8142.f	10281
grid.6292.f	25094
grid.495756.c	79
grid.470634.2	82
grid.451986.7	47
grid.457346.7	20
grid.425034.4	4
grid.425061.4	161
grid.440478.b	119
grid.439674.b	283
grid.262981.6	56
grid.450296.c	1897
grid.449822.1	8
grid.424476.7	14
grid.436588.4	9
grid.452135.4	4
grid.479698.d	2
grid.498655.3	1
grid.495119.1	11
grid.480862.0	7
grid.431360.3	21
grid.440636.3	54
grid.449158.5	9
grid.463691.f	9
grid.465053.1	48
grid.424230.3	33
grid.423881.4	366
grid.442135.5	52
grid.467048.9	112
grid.436255.3	5
grid.434860.d	82
grid.492573.e	343
grid.439721.a	50
grid.441186.e	3
grid.413191.f	48
grid.467382.c	20
grid.506507.1	1
grid.410950.9	1
grid.447476.2	1
grid.497622.c	1
grid.436972.d	2
grid.462495.8	81
grid.508591.0	1
grid.482042.8	56
grid.442872.f	2
grid.491598.8	14
grid.456846.d	4
grid.412411.3	219
grid.417893.0	3495
grid.412537.6	782
grid.457351.1	186
grid.477178.a	72
grid.508076.c	1
grid.477304.3	3
grid.429012.c	3
grid.424533.7	6
grid.483241.8	1
grid.424827.f	1
grid.503054.7	181
grid.444339.d	506
grid.413759.d	539
grid.454146.6	5
grid.470890.2	228
grid.458482.7	914
grid.412849.2	299
grid.412508.a	6245
grid.419074.f	219
grid.414216.4	807
grid.496981.b	1
grid.508520.a	2
grid.482807.1	20
grid.434280.9	6
grid.459960.7	27
grid.476286.9	11
grid.478629.6	6
grid.423358.b	1
grid.431398.4	295
grid.471585.a	55
grid.492406.d	16
grid.465872.a	11
grid.462939.3	6
grid.437849.5	1
grid.424441.3	242
grid.8385.6	8467
grid.414252.4	7736
grid.14601.32	110
grid.255935.d	116
grid.444708.b	69
grid.444379.9	3
grid.424577.7	1
grid.494021.a	1
grid.442593.d	3
grid.451147.2	1
grid.495047.b	21
grid.430002.5	13
grid.452214.4	27
grid.433562.5	2
