grid_id	dimensions_wos
grid.8395.7	59,233
grid.39158.36	59,171
grid.256642.1	59,106
grid.10789.37	58,946
grid.31451.32	58,93
grid.412517.4	58,878
grid.411206.0	58,713
grid.5374.5	58,65
grid.411239.c	58,618
grid.69566.3a	58,506
grid.411621.1	58,346
grid.412813.d	58,308
grid.415131.3	58,264
grid.257016.7	58,062
grid.411198.4	57,876
grid.5155.4	57,846
grid.10689.36	57,746
grid.31432.37	57,606
grid.8652.9	57,482
grid.412881.6	57,468
grid.258622.9	57,34
grid.263518.b	57,322
grid.411284.a	57,292
grid.136594.c	57,052
grid.136593.b	57,011
grid.440789.6	56,851
grid.32197.3e	56,744
grid.411173.1	56,633
grid.412571.4	56,482
grid.10702.34	56,458
grid.265107.7	55,753
grid.26999.3d	55,752
grid.411237.2	55,713
grid.411746.1	55,678
grid.26091.3c	55,491
grid.411639.8	55,487
grid.20736.30	55,405
grid.411233.6	55,371
grid.410682.9	54,984
grid.257022.0	54,857
grid.136304.3	54,622
grid.7632.0	54,365
grid.271300.7	54,319
grid.10757.34	54,142
grid.260026.0	54,111
grid.256342.4	53,977
grid.412258.8	53,797
grid.4551.5	53,575
grid.412211.5	53,437
grid.412371.2	53,344
grid.268397.1	53,329
grid.20515.33	53,212
grid.411303.4	52,903
grid.260975.f	52,372
grid.7269.a	52,061
grid.411087.b	51,412
grid.143643.7	50,518
grid.265061.6	50,23
grid.263536.7	49,694
grid.413618.9	49,395
grid.261455.1	49,216
grid.411216.1	49,101
grid.32056.32	48,929
grid.31143.34	48,248
grid.411036.1	47,081
grid.260969.2	46,249
grid.265074.2	46,128
grid.9582.6	45,578
grid.47716.33	43,474
grid.5290.e	41,857
grid.262576.2	40,268
grid.268446.a	38,22
grid.9018.0	34,433
