grid_id	dimensions_wos
grid.24515.37	80,681
grid.7563.7	80,662
grid.7605.4	80,657
grid.9027.c	80,609
grid.412067.6	80,593
grid.410688.3	80,565
grid.10041.34	80,554
grid.411368.9	80,553
grid.4691.a	80,537
grid.418084.1	80,513
grid.9668.1	80,504
grid.412252.2	80,502
grid.412553.4	80,494
grid.34538.39	80,474
grid.7849.2	80,46
grid.411649.f	80,425
grid.5477.1	80,42
grid.410736.7	80,41
grid.256681.e	80,401
grid.5284.b	80,393
grid.22254.33	80,36
grid.221309.b	80,348
grid.418920.6	80,321
grid.4605.7	80,238
grid.7914.b	80,212
grid.257065.3	80,162
grid.8267.b	80,143
grid.5801.c	80,122
grid.20861.3d	80,116
grid.70738.3b	80,116
grid.417736.0	80,104
grid.4514.4	80,097
grid.13339.3b	80,081
grid.1003.2	80,078
grid.22937.3d	80,047
grid.207374.5	79,969
grid.7700.0	79,966
grid.410579.e	79,895
grid.6612.3	79,892
grid.411728.9	79,877
grid.64523.36	79,865
grid.16890.36	79,836
grid.39436.3b	79,82
grid.5170.3	79,815
grid.267370.7	79,806
grid.28020.38	79,788
grid.4708.b	79,784
grid.412090.e	79,682
grid.5963.9	79,676
grid.5590.9	79,658
grid.450280.b	79,619
grid.411485.d	79,613
grid.254230.2	79,605
grid.7048.b	79,577
grid.18147.3b	79,563
grid.4861.b	79,561
grid.7177.6	79,56
grid.5734.5	79,556
grid.1025.6	79,537
grid.16821.3c	79,518
grid.15444.30	79,481
grid.437123.0	79,439
grid.10347.31	79,432
grid.454761.5	79,416
grid.256883.2	79,405
grid.5608.b	79,377
grid.1011.1	79,373
grid.411622.2	79,368
grid.1007.6	79,344
grid.5390.f	79,331
grid.418275.d	79,313
grid.6451.6	79,288
grid.412266.5	79,281
grid.7737.4	79,278
grid.10825.3e	79,216
grid.19373.3f	79,155
grid.1008.9	79,106
grid.15781.3a	79,106
grid.37172.30	79,077
grid.11914.3c	79,055
grid.41891.35	79,047
grid.1374.1	79,025
grid.1002.3	79,024
grid.7637.5	78,988
grid.411298.7	78,96
grid.5380.e	78,949
grid.21107.35	78,941
grid.121334.6	78,939
grid.255649.9	78,903
grid.7489.2	78,85
grid.9922.0	78,808
grid.18763.3b	78,806
grid.253613.0	78,75
grid.1009.8	78,714
grid.251916.8	78,706
grid.4989.c	78,691
grid.4970.a	78,688
grid.11135.37	78,663
grid.7445.2	78,661
grid.12380.38	78,628
grid.11794.3a	78,622
grid.5596.f	78,608
grid.264889.9	78,559
grid.411742.5	78,547
grid.8404.8	78,544
grid.256753.0	78,543
grid.1032.0	78,538
grid.11598.34	78,535
grid.261674.0	78,523
grid.411434.7	78,517
grid.8591.5	78,516
grid.38142.3c	78,515
grid.10548.38	78,49
grid.112485.b	78,485
grid.168645.8	78,476
grid.45978.37	78,453
grid.412462.7	78,434
grid.263901.f	78,421
grid.412043.0	78,403
grid.164295.d	78,395
grid.254880.3	78,394
grid.162110.5	78,382
grid.10698.36	78,379
grid.9008.1	78,371
grid.15363.32	78,363
grid.460789.4	78,357
grid.7149.b	78,335
grid.12366.30	78,333
grid.5522.0	78,314
grid.266842.c	78,314
grid.16753.36	78,279
grid.16750.35	78,24
grid.5771.4	78,239
grid.15866.3c	78,229
grid.8158.4	78,215
grid.27860.3b	78,213
grid.194645.b	78,204
grid.9619.7	78,203
grid.43169.39	78,201
grid.267313.2	78,194
grid.412831.d	78,193
grid.266683.f	78,186
grid.8664.c	78,145
grid.1018.8	78,144
