id	university	established_year
3365	Peking Union Med Coll	1956
3366	Nanjing Normal Univ	1902
3367	Nanchang Univ	1921
3368	Shaanxi Normal Univ	1944
3369	Xiangtan Univ	1958
3370	South Med Univ	1951
3371	Beijing Univ Posts & Telecom	1955
3372	Zhejiang Normal Univ	1956
3373	S China Agr Univ	1909
3374	Yangzhou Univ	1902
3375	Southwest Jiaotong Univ	1896
3376	Tianjin Med Univ	1951
3379	Qingdao Univ Sci & Technol	1950
3380	China Univ Geosci	1952
3381	Cent China Normal Univ	1903
3382	Yunnan Univ	1922
3383	Henan Univ	1912
3384	Shanxi Univ	1902
3385	Shanghai Normal Univ	1954
3386	Anhui Med Univ	1926
3387	Shenyang Pharmaceut Univ	1931
3388	Harbin Engn Univ	1953
3389	Hunan Normal Univ	1938
3390	Shandong Agr Univ	1906
3391	Ningbo Univ	1986
3392	Northwest Univ	1902
3393	Henan Normal Univ	1923
3394	Hefei Univ Technol	1945
3395	Qingdao Univ	1909
3396	Yanshan Univ	1920
3397	Wenzhou Med Univ	1912
3398	Capital Normal Univ	1954
3399	Northeast Forestry Univ	1952
3400	Hebei Univ	1921
3401	Guangxi Univ	1928
3402	Univ Jinan	1948
3403	Northwest Normal Univ	1902
3404	Anhui Normal Univ	1928
3405	Liaocheng Univ	1974
3406	Anhui Univ	1928
3407	Shandong Normal Univ	1950
3408	Hebei Med Univ	1894
3409	Nantong Univ	1912
3410	China Univ Min & Technol	1909
3411	Shantou Univ	1981
3413	Hohai Univ	1915
3414	Hangzhou Normal Univ	1908
3415	Hong Kong Baptist Univ	1956
3416	China Univ Petrol Beijing	1953
3417	Zhejiang Sci-Tech Univ	1897
3418	Beijing Forestry Univ	1952
3419	Kunming Univ Sci & Technol	1954
3420	Taiyuan Univ Technol	1902
3421	N China Elect Power Univ	1958
3422	Wenzhou Univ	1984
3423	Tianjin Polytech Univ	1912
3456	Univ Wyoming	1886
3470	N Dakota State Univ	1890
3471	Univ Nebraska Med Ctr	1869
3472	Univ N Texas	1890
3475	Lehigh Univ	1865
3476	Ohio Univ	1804
3477	Montana State Univ	1893
3479	South Illinois Univ - Carbondale	1869
3481	Univ Akron	1870
3482	Univ Nevada - Las Vegas	1957
3483	Univ N Carolina - Charlotte	1946
3484	Kent State Univ	1910
3485	Boston Coll	1863
3486	New Mexico State Univ	1888
3487	Loma Linda Univ	1905
3488	Univ Missouri - Kansas City	1933
3490	Univ Idaho	1889
3491	Univ Memphis	1912
3492	Binghamton Univ - SUNY	1946
3494	Michigan Technol Univ	1885
3495	Missouri Univ Sci & Technol	1870
3496	Old Dominion Univ	1930
3497	Colorado Sch Mines	1873
3498	Uniformed Services Univ Hlth Sci	1972
3499	Miami Univ	1809
3500	Univ Maine - Orono	1865
3502	Portland State Univ	1946
3503	Univ Rhode Island	1892
3506	Univ Maryland - Baltimore County	1966
3507	Univ Montana	1893
3508	New Jersey Inst Technol	1881
3509	Illinois Inst Technol	1890
3510	Coll William & Mary	1693
3512	Marquette Univ	1881
3514	Florida Atlantic Univ	1961
3515	Univ N Carolina - Greensboro	1891
3516	Univ N Dakota	1883
3517	Baylor Univ	1845
3518	Univ Alaska - Fairbanks	1917
3524	Southern Methodist Univ	1911
3527	Univ Denver	1864
3528	S Dakota State Univ	1881
3532	Oakland Univ	1957
3537	Rochester Inst Technol	1829
3573	Ryerson Univ	1948
3574	Univ New Brunswick	1785
3581	Brock Univ	1964
3582	Univ Regina	1911
3634	Univ Toyama	1949
3636	Nagoya City Univ	1884
3637	Kyoto Prefect Univ Med	1872
3638	Tokyo Univ Sci	1881
3642	Osaka Prefect Univ	1883
3645	Jichi Med Univ	1972
3650	Hirosaki Univ	1949
3656	Tokyo Metropolitan Univ	2005
3687	Curtin Univ	1986
3688	Deakin Univ	1974
3689	Univ New England	1938
3690	Murdoch Univ	1975
3691	Victoria Univ - Melbourne	1916
3705	Natl Univ Cordoba	1613
3707	Univ Concepción	1919
3708	Univ Natl Colombia	1867
3709	Mansoura Univ	1972
3711	Zagazig Univ	1974
3712	Assiut Univ	1957
3715	Ferdowsi Univ Mashhad	1949
3716	KN Toosi Univ Technol	1928
3717	Shahid Beheshti Univ	1959
3718	Univ Isfahan	1946
3719	Bu-Ali Sina Univ	1973
3720	Razi Univ	1972
3721	Tabriz Univ Med Sci	1947
3722	Univ Guilan	1974
3723	Jordan Univ Sci & Technol	1986
3724	Univ Jordan	1962
3726	Kuwait Univ	1966
3727	American Univ Beirut	1866
3728	Univ Putra Malaysia	1931
3729	Natl Polytech Inst - Mexico	1936
3730	Victoria Univ Wellington	1897
3736	Univ Nis	1965
3737	Gyeongsang Natl Univ	1948
3739	Sogang Univ	1960
3740	Kangwon Natl Univ	1947
3742	Pukyong Natl Univ	1924
3743	Gwangju Inst Sci & Technol	1993
3744	Chungbuk Natl Univ	1951
3746	Chosun Univ	1946
3748	Sejong Univ	1940
3749	Dong-a Univ	1946
3751	Kwangwoon Univ	1934
3753	China Med Univ - Taiwan	1958
3755	Natl Taipei Univ Technol	1912
3756	Taipei Med Univ	1960
3758	Feng Chia Univ	1961
3759	Chung Yuan Christian Univ	1955
3760	National Chung Cheng Univ	1989
3761	Natl Taiwan Normal Univ	1946
3762	Chung Shan Med Univ	1960
3765	Univ Republic	1849
6003	Univ Fed ABC	2005
6071	Univ Fed Juiz de Fora	1960
6080	Univ Fed Espírito Santo	1930
7268	Univ Bordeaux	1896
9274	Univ Sci Technol Houari Boumediene	1974
9301	Univ Ghana	1948
9308	Makerere Univ	1922
9424	Univ Antioquia	1803
9428	Univ Los Andes Colombia	1948
9430	Tanta Univ	1972
9438	Thapar Inst Engn & Technol	1956
9439	Inst Chem Technol	1933
9440	Natl Inst Technol Rourkela	1961
9444	Mashhad Univ Med Sci	1949
9462	Univ Kashan	1973
9463	Isfahan Univ Med Sci	1946
9485	Shahid Bahonar Univ Kerman	1972
9486	Urmia Univ	1878
9487	Yazd Univ	1987
9488	Univ Shahrood	1973
9489	Univ Mazandaran	1979
9490	Semnan Univ	1974
9491	Islamic Azad Univ Sci & Res Tehran	1984
9501	Shizuoka Univ	1949
9508	Shimane Univ	1949
9515	Toho Univ	1925
9530	Ritsumeikan Univ	1900
9532	Nara Inst Sci & Technol	1991
9541	Northeast Agr Univ	1948
9550	Univ Tek Malaysia	1975
9560	Univ Aut Met	1974
9568	Technol Monterrey ITESM	1943
9570	Univ Ibadan	1948
9575	Sultan Qaboos Univ	1986
9580	Univ Punjab	1882
9581	Univ Karachi	1953
9582	Univ Agr Faisalabad	1906
9589	Sichuan Agr Univ	1906
9592	Jiangnan Univ	1958
9594	Shenzhen Univ	1983
9596	Renmin Univ China	1937
9597	Guangxi Med Univ	1934
9600	Fujian Med Univ	1937
9604	Guangdong Univ Technol	1952
9606	China Jiliang Univ	1978
9610	Nanjing Univ Info Sci & Technol	1960
9612	Dalian Med Univ	1947
9614	Tianjin Univ Sci & Technol	1958
9616	Jiangxi Normal Univ	1940
9618	Hubei Univ	1931
9620	Xinjiang Univ	1924
9624	Hebei Univ Technol	1903
9626	Fujian Normal Univ	1907
9628	Heilongjiang Univ	1941
9630	Zhejiang Gongshang Univ	1911
9636	Nanjing Univ Posts & Telecom	1942
9640	Guangxi Normal Univ	1932
9642	Guangzhou Med Univ	1958
9650	Henan Univ Sci & Technol	1952
9652	Shandong Univ Technol	1956
9654	Guizhou Univ	1902
9662	Nanjing Forestry Univ	1902
9664	Tianjin Normal Univ	1958
9666	Anhui Univ Technol	1958
9668	Shaanxi Univ Sci & Technol	1958
9670	Shanghai Ocean Univ	1912
9674	Lanzhou Univ Technol	1919
9676	Hangzhou Dianzi Univ	1956
9680	N Univ China	1941
9682	Henan Polytech Univ	1909
9692	Novosibirsk State Univ	1959
9694	Moscow Engn Phys Inst	1942
9695	King Khalid Univ	1998
9696	King Abdullah Univ Sci & Technol	2009
9700	Yeungnam Univ	1967
9704	Univ Seoul	1918
9709	Keimyung Univ	1899
9711	Dankook Univ	1947
9713	Hallym Univ	1982
9723	Dongguk Univ	1906
9725	Hongik Univ	1946
9726	Inje Univ	1979
9732	Seoul Ntl Univ Sci & Technol	1910
9734	Univ Sci & Technol	2003
9790	Natl Taiwan Ocean Univ	1953
9794	Natl Def Med Ctr	1902
9812	United Arab Emirates Univ	1975
9814	Univ Massachusetts Boston	1852
9818	Univ Massachusetts Lowell	1894
9826	Rutgers - State Univ New Jersey	1825
9950	Iran Univ Med Sci	1973
10000	Qatar Univ	1973
10058	ITMO Univ	1900
10060	Kazan (Volga region) Fed Univ	1804
10084	Ural Fed Univ	1920
10109	Univ Calabria	1972
10113	Augusta Univ	1828
10261	COMSATS Inst Info Technol	1998
10267	Edith Cowan Univ	1991
10324	Inner Mongolia Univ	1957
10325	Wuhan Univ Sci & Technol	1898
10326	GuangZhou Univ	1927
10327	Xuzhou Med Coll	1958
10329	Changsha Univ Sci & Technol	1956
10330	Xi'An Univ Technol	1949
10331	Qufu Normal Univ	1955
10332	Dalian Maritime Univ	1909
10333	Nanjing Univ Chin Med	1954
10335	Henan Agr Univ	1912
10336	Jiangsu Normal Univ	1952
10337	Tianjin Univ Technol	1978
10338	Shandong Univ Sci & Technol	1951
10339	Beijing Univ Chin Med	1956
10344	Univ Montpellier	1289
10345	Australian Cath Univ	1991
10432	Univ Lille	1559
10435	Univ Chinese Acad Sci	1978
10445	Mohammed V Univ	1957
10548	Gustave Eiffel Univ	2020
10552	Inst Polytech Paris	2019
10553	Univ Paris-Saclay	2015
10554	Univ Paris Sci Lettres	2010
10560	Univ Côte d’Azur	2015
16188	Ulsan Natl Inst Sci & Technol	2007
16435	Jeju Natl Univ	1952
16437	Tezpur Univ	1994
16441	Univ Yamanashi	2002
16445	Indian Inst Technol (Indian Sch Mines)	1926
16446	Addis Ababa Univ	1950
16482	Inst Natl Recherche Sci	1969
18000	Southwest Petrol Univ	1958
18001	Univ Shanghai Sci & Technol	1906
18002	Fujian Agr & Forestry Univ	1936
18003	Xinjiang Med Univ	1956
18004	Chang'an Univ	1951
18005	Anhui Agr Univ	1928
18006	Huaqiao Univ	1960
18008	Harbin Univ Sci & Technol	1950
18010	Southwest Univ Sci & Technol	1952
18012	Xi'an Univ Arch & Technol	1895
18015	Qingdao Agr Univ	1951
18016	Henan Univ Technol	1956
18017	Guilin Univ Technol	1956
18020	Shihezi Univ	1996
18021	Chengdu Univ Technol	1956
18023	Shanxi Med Univ	1919
18026	Hunan Agr Univ	1951
18028	Kunming Med Univ	1933
18030	China Three Gorges Univ	2000
18031	Xinxiang Med Univ	1950
18032	Hunan Univ Sci & Technol	1949
18033	S Cent Univ Nationalities	1951
18034	Guangdong Pharmaceut Univ	1958
18036	Wuhan Institute Technol	1972
18037	Hainan Univ	1958
18041	N China Univ Sci & Technol	1958
18043	Univ S China	2000
18053	Babol Noshirvani Univ Technol	1970
18055	Sahand Univ Technol	1989
18058	Univ Zanjan	1975
18065	Univ Teknologi Petronas	1997
18066	Natl Univ Sci & Technol - Islamabad	1991
18069	Gachon Univ	1939
18072	Auckland Univ Technol	1895
18076	Univ Tunis El Manar	2000
18077	Univ Monastir	2004
18085	Texas State Univ	1899
18090	Charles Sturt Univ	1989
18430	Univ California - Merced	2005
18535	Zhejiang Chinese Med Univ	1953
18537	Shenyang Agr Univ	1952
18540	Shanghai Maritime Univ	1909
18542	Chongqing Univ Posts & Telecommun	1950
18546	Guangzhou Univ Chinese Med	1956
18555	Al-Azhar Univ	970
18560	Shahid Chamran Univ Ahwaz	1955
18565	Ariel Univ	1982
18584	Incheon Natl Univ	1979
18682	Sorbonne Univ	2010
18685	Univ Sunshine Coast	1994
18700	South Univ Sci & Technol China	2009
18701	Anhui Univ Sci & Technol	1945
18707	Beijing Technol & Business Univ	1998
18711	Yangtze Univ	1950
18801	Univ Nigeria	1955
18891	Singapore Univ Technol & Design	2009
18894	Ton Duc Thang Univ	1997
18980	Daegu Gyeongbuk Inst Sci & Technol DGIST	2004
18988	Khalifa Univ Sci & Technol	2007
19121	Malek Ashtar Univ Technol	1985
19130	Indian Inst Technol Indore	2009
19131	Homi Bhabha Natl Inst	2005
19132	Acad Sci & Innovat Res	2010
19133	IIEST Shibpur	1856
19138	SRM Inst Sci & Technol	1985
32912	Universidade Lisboa	1911
101154	Soonchunhyang Univ	1978
101177	Payame Noor Univ	1987
9678	China Univ Petrol E China	1953
10551	Univ Paris	1150
10561	Univ Grenoble Alpes	1339
19006	Univ Clermont-Auvergne	2017
33166	Univ Hlth Sci	2015
