id	university	grid_id
419	Univ Florence	grid.8404.8
421	Univ Genoa	grid.5606.5
422	Univ l'Aquila	grid.158820.6
423	Univ Salento	grid.9906.6
424	Univ Messina	grid.10438.3e
426	Politec Milano	
427	Univ Cattolica Sacro Cuore	grid.8142.f
429	Univ Milan	grid.4708.b
430	Univ Milano-Bicocca	grid.7563.7
431	Univ Modena & Reggio Emilia	grid.7548.e
433	Univ Campania Luigi Vanvitelli	grid.9841.4
435	Univ Naples Federico II	grid.4691.a
436	Univ Padova	grid.5608.b
437	Univ Palermo	grid.10776.37
438	Univ Parma	grid.10383.39
439	Univ Pavia	grid.8982.b
441	Univ Pisa	grid.5395.a
446	Sapienza Univ Rome	grid.7841.a
447	Univ Rome Tor Vergata	grid.6530.0
448	Roma Tre Univ	grid.8509.4
450	Univ Sassari	grid.11450.31
451	Univ Siena	grid.9024.f
453	Politec Torino	
454	Univ Turin	grid.7605.4
455	Univ Trento	grid.11696.39
456	Univ Trieste	grid.5133.4
457	Univ Udine	grid.5390.f
461	Univ Verona	grid.5611.3
472	Vilnius Univ	grid.6441.7
473	Univ Luxembourg	grid.16008.3f
479	Univ Amsterdam	grid.7177.6
480	Vrije Univ Amsterdam	
482	Delft Univ Technol	grid.5292.c
483	Eindhoven Univ Technol	grid.6852.9
484	Univ Twente	grid.6214.1
485	Univ Groningen	grid.4830.f
487	Leiden Univ	grid.5132.5
488	Maastricht Univ	grid.5012.6
489	Radboud Univ	grid.5590.9
490	Erasmus Univ Rotterdam	grid.6906.9
491	Tilburg Univ	grid.12295.3d
493	Utrecht Univ	
494	Wageningen Univ & Res	
495	Norwegian Univ Life Sci	grid.19477.3c
497	Univ Bergen	grid.7914.b
499	Univ Oslo	grid.5510.1
500	Univ Stavanger	grid.18883.3a
501	UiT Artic Univ Norway	grid.10919.30
502	Norwegian Univ Sci & Technol	grid.5947.f
506	Gdańsk Univ Technol	grid.6868.0
507	Univ Gdańsk	grid.8585.0
509	Silesian Univ Technol	grid.6979.1
511	Med Univ Silesia	grid.411728.9
512	Univ Silesia Katowice	grid.11866.38
514	AGH Univ Sci & Technol	grid.9922.0
516	Jagiellonian Univ	grid.5522.0
517	Łódź Univ Technol	grid.412284.9
518	Univ Łódź	grid.10789.37
519	Maria Curie-Sklodowska Univ	grid.29328.32
521	Univ Warmia & Mazury Olsztyn	grid.412607.6
522	Adam Mickiewicz Univ Poznan	grid.5633.3
525	Poznań Univ Med Sci	grid.22254.33
526	Poznań Univ Technol	grid.6963.a
531	Nicolaus Copernicus Univ Toruń	grid.5374.5
536	Med Univ Warsaw	grid.13339.3b
538	Univ Warsaw	grid.12847.38
539	Warsaw Univ Technol	grid.1035.7
540	Warsaw Univ Life Sci	grid.13276.31
541	Wrocław Univ Environ & Life Sci	
542	Univ Wrocław	grid.8505.8
543	Wrocław Med Univ	grid.4495.c
545	Wrocław Univ Sci & Technol	grid.7005.2
547	Univ Aveiro	
548	Univ Minho	
549	Univ Coimbra	grid.8051.c
559	Univ Nova Lisboa	grid.10772.33
561	Univ Porto	
570	Univ Bucharest	grid.5100.4
571	Polytech Univ Bucarest	grid.4551.5
572	Babeș-Bolyai Univ	grid.7399.4
592	Nagoya Inst Technol	grid.47716.33
594	Yokohama Natl Univ	grid.268446.a
608	Comenius Univ Bratislava	
611	Slovak Univ Technol Bratislava	grid.440789.6
619	Univ Ljubljana	grid.8954.0
620	Univ Maribor	grid.8647.d
621	Univ Alcalá	grid.7159.a
622	Univ Alicante	grid.5268.9
623	Univ Extremadura	grid.8393.1
625	Univ Aut Barcelona	grid.7080.f
626	Univ Barcelona	grid.5841.8
627	Univ Politècnica Catalunya - BarcelonaTech	
628	Pompeu Fabra Univ	grid.5612.0
631	Univ Cádiz	grid.7759.c
634	Univ Castilla-La Mancha	
635	Univ Cordoba	grid.411901.c
637	Univ Girona	grid.5319.e
638	Univ Granada	grid.4489.1
640	Univ Jaén	grid.21507.31
641	Univ A Coruña	grid.8073.c
642	Univ La Laguna	grid.10041.34
643	Univ Las Palmas Gran Canaria	grid.4521.2
644	Univ Basque Country	grid.11480.3c
646	Univ Lleida	grid.15043.33
648	Univ Aut Madrid	grid.5515.4
649	Complutense Univ Madrid	grid.4795.f
650	Natl Distance Educ Univ	grid.10702.34
651	Tech Univ Madrid	
654	Univ Malaga	grid.10215.37
655	Rey Juan Carlos Univ	grid.28479.30
656	Univ Murcia	grid.10586.3a
657	Univ Oviedo	grid.10863.3c
658	Univ Balearic Islands	grid.9563.9
659	Univ Navarra	
662	Univ Salamanca	grid.11762.33
663	Univ Cantabria	grid.7821.c
664	Univ Santiago Compostela	grid.11794.3a
665	Univ Seville	grid.9224.d
666	Univ Rovira & Virgili	grid.410367.7
667	Univ Politècnica València	
668	Univ Valencia	grid.5338.d
669	Univ Valladolid	grid.5239.d
670	Univ Vigo	grid.6312.6
671	Univ Zaragoza	grid.11205.37
672	Chalmers Univ Technol	grid.5371.0
673	Univ Gothenburg	grid.8761.8
677	Linköping Univ	grid.5640.7
678	Luleå Univ Technol	grid.6926.b
679	Lund Univ	grid.4514.4
682	Örebro Univ	grid.15895.30
684	Karolinska Inst	grid.4714.6
685	KTH Royal Inst Technol	grid.5037.1
687	Stockholm Univ	grid.10548.38
688	Umeå Univ	grid.12650.30
689	Uppsala Univ	grid.8993.b
690	Univ Basel	grid.6612.3
693	Univ Bern	grid.5734.5
695	Univ Fribourg	grid.8534.a
696	Univ Geneva	grid.8591.5
697	Ecole Polytech Féd Lausanne	
698	Univ Lausanne	grid.9851.5
703	ETH Zurich	grid.5801.c
704	Univ Zurich	grid.7400.3
705	Çukurova Univ	grid.98622.37
706	Sakarya Univ	grid.49746.38
707	Ankara Univ	grid.7256.6
708	Bilkent Univ	grid.18376.3b
710	Gazi Univ	grid.25769.3f
711	Hacettepe Univ	grid.14442.37
712	Middle E Tech Univ	grid.6935.9
715	Akdeniz Univ	grid.29906.34
718	Bursa Uludağ Univ	
719	Pamukkale Univ	grid.411742.5
722	Fırat Univ	grid.411320.5
723	Atatürk Univ	grid.411445.1
