Country	impact_P	impact_P_Bio_Health	impact_P_Life_Earth	impact_P_Math_Comp	impact_P_Phy_Eng	impact_P_Soc_Hum	P_top10	collab_P	P_int_collab	P_OA	TCS	TNCS	P_industry_collab	PA_F_MF	dimensions_wos	langlinks	total_views	local_views	int_views	rest_views	editors	revisions	words	unique_references	minor_edits	characters	sections	references	topic_specialisation	topic_specialisation_bio	topic_specialisation_eng	gini_production	established_year	age	Universities
Greece	5086.25	2177.0	710.25	456.62	1504.38	238.25	628.62	5086.25	3032.62	2380.62	44308.88	6365.62	316.62	29.78	25.34	21.0	338660.75	137409.12	111363.5	89888.12	597.5	1255.25	8317.75	182.5	439.62	86463.12	121.62	200.75	0.38	0.25	0.12	0.41	1932.12	89.88	8
Hungary	3359.17	1535.33	406.0	252.17	997.17	168.83	355.17	3359.17	1988.67	2244.33	30365.5	3931.67	307.83	33.38	24.48	28.33	457210.0	150270.5	178561.83	128377.67	826.67	1883.67	10466.0	138.17	656.0	102945.67	220.83	158.33	0.67	0.5	0.17	0.49	1702.83	319.17	6
Iceland	3724.0	1630.0	860.0	159.0	688.0	388.0	584.0	3724.0	3104.0	2323.0	41164.0	5689.0	441.0	36.5	23.85	46.0	578734.0	17319.0	338325.0	223090.0	1180.0	2136.0	10531.0	132.0	1093.0	89495.0	348.0	157.0	0.0	0.0	0.0	0.37	1911.0	111.0	1
India	3349.71	600.16	403.53	466.34	1830.47	49.68	278.18	3349.71	910.55	835.63	23531.34	3249.76	73.53	20.89	31.44	15.05	829772.47	788956.16	745249.45	40816.32	763.08	1822.16	5153.74	129.71	419.08	61465.95	82.08	155.29	0.82	0.08	0.74	0.52	1947.89	74.11	38
Iran	3797.61	997.0	538.53	494.39	1693.06	74.89	333.08	3797.61	1066.25	804.33	25897.61	3785.31	48.25	24.25	24.7	8.06	319176.58	242611.42	60166.72	16398.44	415.72	985.5	4010.47	55.94	242.44	37494.39	59.56	65.19	0.78	0.19	0.58	0.53	1960.53	61.47	36
Ireland	5569.67	2396.67	802.17	382.0	1342.17	646.67	824.0	5569.67	3732.83	3281.0	58993.83	8098.17	462.0	36.27	27.48	27.0	829739.5	538637.83	536993.33	291101.67	1245.5	2817.5	13648.33	324.0	809.83	124671.0	184.67	383.33	0.0	0.0	0.0	0.35	1847.17	174.83	6
Israel	8018.75	3525.0	860.0	782.75	1910.75	940.5	988.5	8018.75	4266.75	3937.12	74473.75	10043.75	356.88	34.45	20.79	39.0	813100.12	174825.38	337311.75	300963.0	1627.75	3656.62	13196.38	215.88	1593.0	133695.25	205.12	240.88	0.12	0.12	0.0	0.34	1949.5	72.5	8
Italy	7596.4	3437.1	976.93	606.9	2170.0	406.17	980.45	7596.4	4058.67	4115.83	70727.83	9802.45	446.48	38.34	22.6	25.5	582237.9	262138.69	178701.57	141397.64	806.4	1714.4	7100.07	112.98	617.29	61776.24	123.81	127.0	0.36	0.29	0.07	0.44	1698.86	323.14	42
Japan	5765.85	2519.67	711.13	328.44	2071.15	135.96	494.61	5765.85	1974.7	3055.39	41963.13	5554.65	512.24	13.58	42.01	16.39	1036176.78	756578.5	130824.8	148773.48	754.48	1633.87	4424.74	172.5	503.28	61536.63	161.06	208.46	0.69	0.56	0.13	0.53	1917.44	104.56	54
Jordan	2251.5	991.0	326.5	311.0	512.5	111.5	187.5	2251.5	1269.5	765.5	23297.0	3426.0	68.5	26.35	32.92	17.0	460109.0	299593.0	139557.5	20958.5	606.5	2264.5	13409.0	330.5	450.5	141453.0	148.5	451.0	0.0	0.0	0.0	0.36	1974.0	48.0	2
